Disease,Treatment
Tularemia,Administer artemisinin-based combination therapy 5% cream three times daily. Monitor renal function. Recommend strict infection control.
Lassa Fever,Initiate amoxicillin therapy as per guidelines. Monitor for renal function.
Listeriosis,Prescribe sumatriptan and recommend trigger avoidance. Monitor thyroid levels.
Allergic Rhinitis,Prescribe ethambutol and recommend strict infection control. Monitor renal function.
Hypertension,Initiate metronidazole therapy as per guidelines. Monitor for platelet count.
Measles,Administer rifampin 250 mg as needed. Monitor blood glucose. Recommend trigger avoidance.
Campylobacteriosis,Administer amoxicillin 1 g once daily. Monitor liver function. Recommend strict infection control.
Shingles,Initiate isoniazid therapy as per guidelines. Monitor for blood glucose.
Anthrax,Prescribe oseltamivir and recommend follow-up testing. Monitor renal function.
Tularemia,Prescribe sumatriptan and recommend strict infection control. Monitor liver function.
Leprosy,Recommend strict infection control. Provide pain management.
Hantavirus,Initiate acyclovir therapy as per guidelines. Monitor for renal function.
Ebola Virus Disease,Initiate isoniazid therapy as per guidelines. Monitor for platelet count.
Hyperthyroidism,Prescribe oseltamivir at 20 mg. Counsel patient on follow-up testing.
Pertussis,Recommend symptom monitoring. Provide nutritional support.
Meningitis,Initiate oseltamivir therapy as per guidelines. Monitor for blood glucose.
Q Fever,Recommend strict infection control. Provide antipyretics and hydration.
Schistosomiasis,Administer metronidazole 800 mg once daily. Monitor renal function. Recommend adequate hydration.
Bronchitis,Prescribe hydrocortisone cream and recommend strict infection control. Monitor renal function.
Candidiasis,Administer influenza vaccine if indicated. Advise strict infection control.
Mycoplasma Pneumonia,Prescribe isoniazid and recommend adequate hydration. Monitor thyroid levels.
Otitis Media,Recommend strict infection control. Provide antipyretics and hydration.
Campylobacteriosis,Prescribe amoxicillin and recommend symptom monitoring. Monitor liver function.
Shingles,Prescribe hydrocortisone cream and recommend trigger avoidance. Monitor renal function.
Ascariasis,Initiate doxycycline therapy as per guidelines. Monitor for thyroid levels.
Hookworm,Prescribe amoxicillin and recommend symptom monitoring. Monitor thyroid levels.
Abscess,Prescribe sumatriptan at 10 mg. Counsel patient on strict infection control.
Pediculosis,Administer pyrazinamide 2.4 million units twice daily. Monitor liver function. Recommend trigger avoidance.
Blastomycosis,Prescribe oseltamivir at 20 mg. Counsel patient on strict infection control.
